last_name, first_name,player_id,year,p_era,xbadiff,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,
Sale, Chris,519242,2022,3.18,-0.061,L,102,35.3,94.9,2317,14.1,-18.3,18.9,1.5,32.4,79.2,2348,-14.6,-48.4,15.3,1.6,21.6,88.2,1959,18.6,-33.7,18.8,1.6,,,,,,,,10.8,93.3,2115,18.2,-27.7,18.7,1.4,,,,,,,,,,,,,,,,,,,,,,
Smith, Will,519293,2022,3.97,.027,L,985,41.5,92.1,2179,8.6,-15.4,19.2,1.2,48.2,81.7,2259,-4.8,-38.5,6.4,1.6,1.1,87.4,2050,14.1,-24.2,18.4,1.5,9.1,76.9,1883,-8.9,-54.6,12.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strickland, Hunter,519326,2022,4.91,-0.001,R,1082,50.9,95,2351,-5.1,-16.9,14.6,1.4,38.8,84.8,2814,8.5,-39.4,8.8,1.2,3,89.6,1768,-13.4,-25.8,16,1.3,,,,,,,,7,94.4,2234,-12.9,-20.5,17,1.8,0.2,87.8,2722,3.5,-27.3,9.2,1.5,,,,,,,,,,,,,,,
Baez, Pedro,520980,2022,11.57,.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hendriks, Liam,521230,2022,2.81,.028,R,948,60.5,97.6,2398,-6,-10.1,19.8,1.1,28.9,89,2201,2.5,-30.7,5,1.2,,,,,,,,10.5,85.8,2189,3.2,-47.6,11.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly, Joe,523260,2022,6.08,.062,R,703,1.6,97.1,2199,-10.1,-18.1,14.8,1.4,,,,,,,,8.5,87.1,2045,-17.1,-30.1,18.2,1.5,51.9,88.1,2880,8.5,-43.1,12.5,2.1,38,97.9,2178,-15.2,-18.2,18.6,1.2,,,,,,,,,,,,,,,,,,,,,,
Perez, Martin,527048,2022,2.89,-0.001,L,2979,8,92.7,2055,10.9,-17.4,18.3,1.3,1.4,84.4,2397,-3.7,-32.8,7.3,1.4,27.6,84.4,1661,14.2,-29.6,16.9,1.3,3.5,78.8,2515,-6.3,-49,8.3,1.4,35.2,92.6,1997,16.4,-21.8,19.4,1.4,24.3,89.8,2215,1.1,-21.6,12.5,1.4,,,,,,,,,,,,,,,
Vizcaino, Arodys,527055,2022,6.35,-0.110,R,115,56.5,97.3,2247,-13.4,-15,19.4,1.2,39.1,84.3,2313,1.4,-39.7,3.2,1.6,1.7,88.1,1071,-11.8,-25.3,15.3,1.5,,,,,,,,2.6,98.1,2195,-17.7,-17.5,20.8,1.5,,,,,,,,,,,,,,,,,,,,,,
Castellanos, Humberto,528748,2022,5.68,.008,R,748,9.9,89.4,2139,-6.5,-22.6,13.7,1.6,26.1,86.2,2073,1.6,-29.2,8.1,1.6,10.4,84,1410,-15.2,-35.8,15.7,1.8,21.3,76.5,2406,11.7,-54,13.9,1.5,32.4,90.4,2030,-16.1,-31.3,16.7,1.3,,,,,,,,,,,,,,,,,,,,,,
Ramirez, Erasmo,541640,2022,2.92,-0.002,R,1222,4.7,93.7,2191,-8.2,-16.5,17,1.5,,,,,,,,3.4,85.4,1657,-12.9,-30.8,14.7,1.4,6.7,80.6,2562,7.2,-46.7,8.8,1.5,39.4,93.1,2206,-15.4,-24.8,17,1.4,45.8,89.2,2385,1.6,-25.3,9.5,1.4,,,,,,,,,,,,,,,
Bethancourt, Christian,542194,2022,2.25,.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisnero, Jose,542585,2022,1.08,-0.040,R,430,35.6,95.5,2456,-11.2,-14.5,19.2,1,25.8,85.4,2566,5.4,-37,8.4,2.5,6.3,89.6,1761,-15.3,-26.9,17.2,1.2,,,,,,,,32.3,95.1,2252,-16.2,-20.6,18.9,1.1,,,,,,,,,,,,,,,,,,,,,,
Anderson, Tyler,542881,2022,2.57,-0.004,L,2576,38,90.7,2231,7.5,-15.3,19.6,1.4,,,,,,,,31.6,79,1848,13.3,-34.8,16.2,1.4,1.2,73.2,2141,-2,-59.2,8.7,1.7,7.1,89,2227,17.2,-28,18.8,1.5,22,85.7,2421,-2.5,-27.2,10.3,2,,,,,,,,,,,,,,,
Armstrong, Shawn,542888,2022,4.38,.046,R,1047,28.9,95.3,2302,-5.2,-14.2,17,1.2,6.6,86.1,2518,10.1,-38.9,10.6,1.6,,,,,,,,,,,,,,,35.6,95.6,2151,-15.5,-18.6,19.4,1.1,28.8,92.3,2460,4.7,-23.9,9.8,1.5,,,,,,,,,,,,,,,
Bass, Anthony,542914,2022,1.54,-0.018,R,986,9.9,95,2022,-6.4,-13.5,18.1,1.1,55.7,86.6,2221,4.7,-38,5.3,1.4,,,,,,,,,,,,,,,30.3,95.4,1990,-13.7,-16.2,19.7,1,,,,,,,,4.1,86.7,1289,-10.4,-26.5,14.8,1.3,,,,,,,,
Bleier, Richard,542947,2022,3.55,.028,L,768,5.7,90.7,2103,7.1,-21.2,14.2,1.1,15.9,77.7,2017,-8.8,-48.3,9.4,1.3,6.9,82.9,1533,15.9,-35.1,16.7,1.2,,,,,,,,48.6,89.8,2039,15.5,-30.6,16.1,1,22.9,87.3,1995,-0.9,-29.6,6.6,1.3,,,,,,,,,,,,,,,
Cole, Gerrit,543037,2022,3.50,-0.005,R,3274,51.9,97.8,2428,-10.4,-10.5,21.1,1.3,22.6,88.7,2569,5,-34.2,5.6,1.6,8.4,89.7,1616,-14,-24.7,17.1,1.4,10.8,83,2779,10.2,-53,16.6,1.6,,,,,,,,6.4,92,2485,0.5,-24.4,8.5,1.5,,,,,,,,,,,,,,,
Coulombe, Danny,543056,2022,1.46,-0.033,L,230,32.2,91.3,2385,3.3,-16,17.2,1.2,21.3,82.8,2535,-4.4,-35.3,7.2,1.4,19.6,76.1,1721,14.9,-35.1,19.5,1.8,14.8,79.3,2688,-5.9,-63.9,20.7,1.5,5.7,90.6,2336,10.4,-18.5,18.5,1.5,,,,,,,,,,,,,,,,,,,,,,
DeSclafani, Anthony,543101,2022,6.63,.103,R,329,13.7,92.6,2266,-10.4,-14.5,20.5,1.5,38.6,87.4,2204,4,-27.4,9.4,1.6,5.8,86,1641,-15.5,-30.9,16.7,1.4,13.1,80.9,2031,9.1,-50.1,12.4,1.9,28.9,92.2,2080,-15.7,-19.9,20,1.5,,,,,,,,,,,,,,,,,,,,,,
Eovaldi, Nathan,543135,2022,3.87,.006,R,1739,38.4,95.7,2128,-12.3,-15.5,19.1,1.9,12.2,85.9,2171,6.6,-33.8,7.9,2.1,,,,,,,,18.5,78.3,2061,9.7,-54.2,13.7,2.1,,,,,,,,10.1,90.6,2376,1.4,-22.2,11.5,2.1,20.9,87.8,1561,-12.4,-34.1,12.6,1.9,,,,,,,,
Gose, Anthony,543238,2022,4.71,-0.011,L,389,64.8,97,2246,6.7,-11.9,18.7,1.6,35,86.1,2288,-3.7,-39.1,5,1.9,0.3,88,1859,5.2,-23.4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray, Sonny,543243,2022,3.08,-0.016,R,1866,28.4,92.1,2540,-1.5,-16.8,15.5,1.1,11.1,81.6,2669,17.4,-47.5,18.6,1.3,1,87.1,1882,-14,-28.2,16.8,1.5,24.5,78.8,2833,14.4,-58.8,20.3,1.2,25.9,92.1,2439,-13.5,-22.7,16.7,1.1,9.1,83.4,2772,7.6,-44.7,9.8,1.4,,,,,,,,,,,,,,,
Hand, Brad,543272,2022,2.80,-0.009,L,816,29.9,92.6,2349,10.3,-17.1,18.4,1.1,52.1,79.3,2282,-16.4,-47.9,17,1.1,,,,,,,,,,,,,,,18,92.4,2289,17.1,-21.8,20.2,1.1,,,,,,,,,,,,,,,,,,,,,,
Harrison, Josh,543281,2022,18.00,.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hendricks, Kyle,543294,2022,4.80,-0.010,R,1347,26.6,86.9,2020,-6,-20.4,17.1,1,,,,,,,,30.7,79.9,2040,-12.4,-32.2,17.2,1,11.9,72.7,2983,13.7,-67.5,20.3,1.3,30.9,86.5,1890,-12.9,-27.8,15.7,1,,,,,,,,,,,,,,,,,,,,,,
Hudson, Daniel,543339,2022,2.22,-0.022,R,406,52.2,97,2408,-11.1,-13.7,19.2,1,41.9,88.8,2469,1.5,-28.8,6.5,1.4,3.4,88.4,2379,-17.1,-25.4,19.9,1.4,,,,,,,,2.5,96.3,2380,-16.7,-16.2,21.5,1.4,,,,,,,,,,,,,,,,,,,,,,
Lyles, Jordan,543475,2022,4.42,.009,R,2988,31.8,91.8,2204,-5.8,-15.5,18.1,1.2,,,,,,,,10.7,86.4,1465,-13.7,-29.1,15.9,1.6,13.4,79.1,2433,7.6,-58.7,16.5,1.5,17.5,90.8,2097,-13.4,-20.8,18.4,1.4,2.6,84.9,2438,4.8,-34.6,6.4,1.9,,,,,,,,,,,,,,,
May, Trevor,543507,2022,5.04,.039,R,465,51.6,96.1,2293,-7.9,-12.7,18.9,1,26.5,84.8,2425,5.2,-40,6.2,2.1,16.1,87.3,1696,-13.4,-24.4,18,1.4,,,,,,,,0.9,96.3,2384,-15.3,-11.5,23.9,1.4,,,,,,,,4.9,87.2,1113,-7.5,-32.1,9.3,1.6,,,,,,,,
McHugh, Collin,543521,2022,2.60,-0.020,R,1075,0.8,91,2333,-10.8,-17.7,19,1.4,,,,,,,,,,,,,,,2.4,74.5,2799,13.1,-61.6,18,1.2,,,,,,,,48,88.9,2511,0.8,-25.6,9,1.2,,,,,,,,,,,,,,,
Milone, Tommy,543548,2022,5.40,-0.050,L,238,42,86.6,2205,6.5,-18.7,19.2,1.3,7.6,78.8,2326,-3.4,-41.2,5.3,1.4,38.7,79.1,1688,14.9,-34.7,17.6,1.1,11.8,76,2450,-4.1,-50.3,5.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odorizzi, Jake,543606,2022,4.40,.003,R,1798,51.2,92.1,2144,-9.8,-15,20.1,1,7.3,82.6,2067,6.5,-36.6,7.8,1.7,,,,,,,,3.8,71.9,2209,10.1,-61.6,13.4,1.7,,,,,,,,21.1,87.6,2077,2.6,-23.3,12.8,1.5,16.6,85.1,1324,-11.8,-31.1,13.8,1.4,,,,,,,,
Shaw, Bryan,543766,2022,5.40,-0.006,R,969,,,,,,,,6.1,84.3,2590,9.8,-39.1,10.6,1.8,2.9,81.8,1652,-8.7,-33.8,11.3,1.6,8.4,82.7,2230,6.8,-52.9,14.6,1.5,6.5,92.4,2020,-8.7,-24,12.6,1.9,76.2,92.9,2411,4.6,-23,10.1,2.4,,,,,,,,,,,,,,,
Weber, Ryan,543901,2022,0.84,-0.136,R,127,,,,,,,,35.4,78.8,2342,18.6,-48.4,19.1,1.3,7.1,79.8,2062,-18.5,-42.4,18.5,1.4,1.6,73.7,2399,18.1,-62.1,21.7,1.4,55.9,89,2064,-17.8,-35.7,17.9,1.1,,,,,,,,,,,,,,,,,,,,,,
Banuelos, Manny,544365,2022,4.39,-0.015,L,718,20.6,93.7,2049,11.5,-17.8,17.8,1.1,22.8,85.8,2415,-5.2,-34,6.7,1.9,10,83.1,1703,15.7,-34.5,16.8,1.6,25.8,81.7,2465,-10.3,-39.5,10.7,1.6,20.8,93.4,1820,16.1,-23.6,18,1.2,,,,,,,,,,,,,,,,,,,,,,
Familia, Jeurys,544727,2022,6.09,.055,R,817,24.4,95.4,2297,-10.2,-16.5,17.1,1.5,14.8,88.6,2183,-0.5,-28.2,6.8,1.5,,,,,,,,,,,,,,,46.1,95.2,2191,-15.5,-26.8,16,1.2,,,,,,,,14.7,92.5,1803,-16.3,-28.1,16.9,1.7,,,,,,,,
Strasburg, Stephen,544931,2022,13.50,.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head, Louis,545343,2022,6.28,.030,R,546,40.1,93.6,2173,-5.5,-15.7,16.8,1,55.5,82.5,2624,13,-43.2,13.6,1.4,4.4,88.6,1472,-12.8,-34.8,13,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poteet, Cody,547001,2022,3.86,-0.043,R,448,26.6,94.9,2343,-6.6,-14,17.8,1.4,21.7,85.7,2811,6.9,-39.4,7.7,1.7,38.2,87.7,1984,-15.2,-32.1,15.8,1.6,2.7,78,2796,14.2,-53.1,16.3,1.5,10.9,94,2174,-15.3,-22.3,17.9,1.3,,,,,,,,,,,,,,,,,,,,,,
Lorenzen, Michael,547179,2022,4.24,-0.009,R,1654,21.3,94.7,2441,-11.8,-15.7,19.1,1.2,4.4,84.7,2511,4.3,-36.9,5.4,1.5,22.3,85.7,2054,-16.2,-27.8,19.1,1.4,2.1,81.3,2653,5.5,-56.4,15.7,1.3,22.6,93.8,2257,-16.9,-22.5,19.2,1.3,11,90.5,2495,0,-24.5,9.2,1.6,,,,,,,,,,,,,,,
Kelly, Michael,547184,2022,2.25,-0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryu, Hyun Jin,547943,2022,5.67,.005,L,395,41.8,89.3,1959,12.6,-21.3,18.4,1.5,,,,,,,,23.8,79.6,1510,14.1,-36.5,16,1.7,21,71.9,2530,-12.8,-67.8,19,1.5,,,,,,,,13.4,86,1959,2.1,-26.7,10.7,1.2,,,,,,,,,,,,,,,
Chapman, Aroldis,547973,2022,4.46,-0.025,L,679,55.5,97.5,2362,4.5,-11,18.6,2.1,24.6,85.7,2282,-10.7,-33.1,12.4,2.2,,,,,,,,,,,,,,,5,100.2,2431,12.6,-11.6,20.2,1.3,,,,,,,,14.9,88.1,835,2.1,-36.1,5.2,2,,,,,,,,
Raley, Brooks,548384,2022,2.68,-0.018,L,846,0.4,90.3,2356,8.5,-22.5,14,1.4,,,,,,,,19.6,85.5,1901,16.9,-36.4,17.4,1.1,,,,,,,,22.6,90.7,2312,16.4,-29.4,17.2,1.1,19.1,88,2551,-3.5,-27.9,8.6,1.2,,,,,,,,,,,,,,,
Stripling, Ross,548389,2022,3.01,-0.022,R,2033,33.7,91.9,2124,-5.2,-13.7,19.7,1.6,21.9,87.1,2301,4.5,-29.6,8.1,1.6,27.2,82.6,1680,-10.9,-29.7,15.3,1.5,9.6,76.1,2377,7.2,-59,13.7,1.6,7.5,89.9,2004,-12.1,-19.4,19,1.7,,,,,,,,,,,,,,,,,,,,,,
Kittredge, Andrew,552640,2022,3.15,-0.007,R,233,13.7,93.7,2623,0.8,-14.2,17.3,1.4,40.8,89.1,2658,6.9,-31.9,7.9,1.6,,,,,,,,,,,,,,,45.5,95.2,2339,-16.3,-18.6,20.3,1.1,,,,,,,,,,,,,,,,,,,,,,
Garcia, Yimi,554340,2022,3.10,.007,R,1039,44.4,94.9,2456,-9.5,-16.7,16.9,1.5,17.5,89.4,2456,2.6,-26.7,8.5,1.4,7.3,87.2,1877,-18.3,-32.4,18.8,1.4,16.7,82.4,2695,11.4,-42.8,12.1,1.7,14.1,93.8,2248,-17.7,-25.2,18.8,1.4,,,,,,,,,,,,,,,,,,,,,,
Wheeler, Zack,554430,2022,2.82,-0.005,R,2358,41.9,95.9,2390,-9.2,-13.6,18.7,1.3,26.9,90.6,2459,2.3,-26.8,7.6,1.6,1.8,89.5,1557,-14.5,-24.8,17.4,1.6,11.9,81.3,2654,9.2,-51.7,13.9,1.4,17.6,95.4,2225,-16,-18.5,19.9,1.3,,,,,,,,,,,,,,,,,,,,,,
Matzek, Tyler,554431,2022,3.50,-0.043,L,713,76.7,94.1,2444,3.8,-13.4,18,1.3,23.1,83.2,2808,-6.4,-46.9,10.1,1.7,,,,,,,,0.1,77.7,2641,-10.5,-57.7,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodriguez, Joely,570257,2022,4.47,-0.002,L,842,5.8,92.7,2031,11.5,-19.8,16.9,1.4,5.8,83.8,2266,-5.3,-40.1,6,1.7,38.8,87.8,1069,11.3,-35.1,11.7,1.1,,,,,,,,49.5,92.7,1956,17.3,-25.6,18.6,1.1,,,,,,,,,,,,,,,,,,,,,,
Valdez, Phillips,570488,2022,4.41,-0.013,R,287,,,,,,,,9.1,84,2323,4.3,-36.9,5.5,1.7,46,86.9,2038,-19.1,-33.2,19.5,1.2,,,,,,,,44.9,94.1,2378,-19.8,-24.5,21,1.1,,,,,,,,,,,,,,,,,,,,,,
Urena, Jose,570632,2022,5.01,.014,R,1622,7.3,96.1,2149,-9.9,-16.9,16.3,1.1,24.4,86.8,2324,1.5,-30.4,6.8,1.9,16.3,90.2,1707,-11.7,-24.7,14.9,1.4,,,,,,,,52,95.6,2190,-14.5,-22.4,16.4,1.1,,,,,,,,,,,,,,,,,,,,,,
Robles, Hansel,570663,2022,5.84,-0.015,R,422,49.8,96,2306,-14.6,-13.8,21.8,1.3,32.9,88.7,2287,1.6,-29.7,5.9,1.8,16.6,90.2,1607,-14,-22.8,18.1,1.8,,,,,,,,0.7,95.9,2316,-20.4,-12.2,27.1,1.4,,,,,,,,,,,,,,,,,,,,,,
Cessa, Luis,570666,2022,4.57,-0.003,R,1235,20.2,93.3,2297,-7.4,-16.8,16.5,1.3,38.9,82.9,2528,5.7,-44.2,7.6,1,19,87.8,1679,-11.5,-29.6,13.2,1.3,,,,,,,,21.9,93.6,2191,-14.8,-20.8,18.2,1.2,,,,,,,,,,,,,,,,,,,,,,
Alvarez, R.J.,571439,2022,11.57,.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appel, Mark,571446,2022,1.74,.002,R,149,,,,,,,,20.1,83.1,1793,4.7,-42.5,5.8,1.4,4.7,86.1,1443,-13,-29.5,15.2,1.4,,,,,,,,75.2,95,1892,-14.3,-18.7,18.6,1.2,,,,,,,,,,,,,,,,,,,,,,
Bellatti, Andrew,571479,2022,3.31,.027,R,963,40.4,94.4,2436,-10.5,-14.2,19.9,1.1,52.4,85.9,2398,3.6,-33.3,5.6,1.3,7.2,89.5,1697,-16.3,-27.2,17.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd, Matthew,571510,2022,1.35,-0.072,L,192,32.8,92.6,2482,11.4,-17.2,18.7,1.4,32.3,80.8,2405,-3.4,-43.1,4.2,1.4,18.8,80.6,1962,14.8,-37.9,15.7,1.5,1.6,72,2486,-12.8,-67,19,1.4,14.6,90.6,2413,16.5,-24.2,19,1.6,,,,,,,,,,,,,,,,,,,,,,
Corbin, Patrick,571578,2022,6.31,.017,L,2623,18.6,92.1,2120,8.1,-17.6,17,1.5,29.4,81.7,2184,-2.9,-39.6,3.8,2.4,8.3,82.5,1631,12.7,-30.4,16.3,2.2,0,74.2,1944,-2.5,-51.4,2.9,,43.6,92.9,2069,14.3,-20,18.7,1.5,,,,,,,,,,,,,,,,,,,,,,
Farmer, Buck,571656,2022,3.83,-0.001,R,838,44.6,94.6,2325,-10.1,-15.3,18.4,0.9,31.4,83.3,2688,7.5,-37.4,8.2,1.2,24,88.7,1678,-14,-34.4,14.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floro, Dylan,571670,2022,3.02,.003,R,863,26.7,92.4,2177,-10.4,-17.6,18.1,1.3,21.9,84.1,1891,2,-34.9,5.3,1.3,15.1,85.2,1819,-17,-35.7,17.3,1.2,,,,,,,,36.4,92.6,2128,-17.3,-23.2,19.5,1.3,,,,,,,,,,,,,,,,,,,,,,
Giles, Ken,571704,2022,0.00,-0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Givens, Mychal,571710,2022,3.38,.021,R,1021,51.5,93.4,2426,-6.9,-19.2,14.1,1.6,29.8,84.7,2575,6.1,-35.5,7,1.9,18.7,82.1,2067,-9.1,-43.7,10,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heaney, Andrew,571760,2022,3.10,.011,L,1230,62.5,93,2442,14.8,-17.5,20.7,1.5,32.4,83.4,2583,-3.6,-38.2,4.9,1.8,5.1,85,2124,16.7,-31.6,18.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hutchison, Drew,571800,2022,4.53,-0.003,R,1759,41.2,92.4,2258,-3.7,-15.2,17.4,1.3,37.1,86,2582,4.5,-37.2,5.2,1.5,10.2,86.5,1738,-13.3,-26.9,16.6,1.6,,,,,,,,11.4,92.7,2302,-11.2,-17.3,18.5,1.2,,,,,,,,,,,,,,,,,,,,,,
Koch, Matt,571863,2022,8.31,-0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law, Derek,571882,2022,4.12,.017,R,352,8,95.1,2105,-5,-14.7,16.4,1.4,10.2,85.5,2316,2.9,-40.1,4.4,1.4,2.8,87.9,1727,-13.6,-28.4,15.4,1.7,12.8,77.1,2151,1.8,-55.2,9.5,2.3,15.3,94.8,1995,-12.2,-19.2,16.7,1.5,50.9,90.7,2367,3.6,-27.1,7.4,1.6,,,,,,,,,,,,,,,
Loup, Aaron,571901,2022,3.84,-0.022,L,967,,,,,,,,,,,,,,,12.5,80.3,1946,17.6,-45.1,17.9,1.2,2.8,76,2343,-16.2,-46.7,16.7,1.3,48.7,91.2,2130,18.9,-29.4,19.4,1.4,36,84.7,2323,0.3,-35.6,3.2,1.4,,,,,,,,,,,,,,,
Markel, Parker,571917,2022,0.00,-0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matz, Steven,571927,2022,5.25,.003,L,849,,,,,,,,2.6,89.6,2160,2.2,-25.9,9,1.3,28.9,85.1,2322,15.2,-35.8,15.5,1.2,20,78,2371,-14.9,-54.6,17.7,1.5,48.5,94.5,2260,15.4,-18.3,19.8,1,,,,,,,,,,,,,,,,,,,,,,
Mikolas, Miles,571945,2022,3.29,-0.026,R,3140,27.4,93.5,2292,-4.9,-16.3,15.9,1.5,25.4,87.7,2382,3.9,-31.1,6.2,1.4,4,82.7,1575,-12,-31,15.5,3.6,20.8,76.2,2555,8.7,-63,17.8,1.5,22.3,93,2232,-13.3,-19.5,18.4,1.5,,,,,,,,,,,,,,,,,,,,,,
Miller, Shelby,571946,2022,6.43,.045,R,127,44.9,94.4,2338,-8.9,-12.5,20.6,1.2,55.1,82.1,2500,13.6,-38.1,14.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milner, Hoby,571948,2022,3.76,.015,L,1088,4.1,89.2,1974,16.4,-27.6,18,1.3,,,,,,,,20.3,81.3,1783,17.1,-39.8,17.4,1.3,32.7,79.5,1887,-13.4,-45.3,13.6,1.2,42.8,88.9,1989,18.5,-34.8,18.6,1.1,,,,,,,,,,,,,,,,,,,,,,
Myers, Wil,571976,2022,7.36,.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richards, Garrett,572070,2022,5.27,.004,R,708,24.9,94.4,2310,0.5,-21.9,9,1,37.7,88.6,2605,2.3,-35.9,3.2,1.1,34.7,90,1690,-15.2,-30.1,15.9,1.4,2.3,76.7,2859,10.9,-67.2,22.2,1.3,0.4,95.7,2376,-6.4,-20.7,11.2,1.5,,,,,,,,,,,,,,,,,,,,,,
Selman, Sam,572125,2022,4.91,.014,L,295,48.1,89.3,2173,2.7,-20.6,13.9,1.2,47.1,79.3,2329,-12.1,-39.9,12.9,1.3,,,,,,,,,,,,,,,4.7,90.4,2192,9.7,-18.8,17.7,1.6,,,,,,,,,,,,,,,,,,,,,,
Taylor, Michael A.,572191,2022,9.00,.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tepera, Ryan,572193,2022,3.61,-0.015,R,892,31.6,92.6,2224,-7.2,-15.1,18.5,1.2,36.8,86,2305,4.7,-32.9,6.5,1.2,8.9,85.8,1241,-11.1,-32.2,12.9,1.3,0.8,81.5,2260,4.4,-45.7,6.3,1.6,16.7,92.9,2182,-16.2,-19.9,20.2,1.2,,,,,,,,,,,,,,,,,,,,,,
VerHagen, Drew,572403,2022,6.65,.015,R,419,22.2,94.9,2371,-3.1,-13.6,17.3,1.3,,,,,,,,15.8,89.5,1686,-9.1,-28.8,10.8,1.3,13.4,78.2,2216,9.9,-60.2,18.1,1.5,23.6,94.6,2371,-13.4,-17.6,19,1.2,3.1,91.3,2347,-1.3,-23,9.9,1.5,,,,,,,,,,,,,,,
Bard, Luke,572703,2022,1.80,-0.148,R,241,34.4,94,2570,-11.5,-13.6,21.1,1.1,22.8,86.3,2733,4,-32.7,6.3,1.5,4.6,85.8,1795,-17.5,-33.6,18.2,1.6,19.9,78.1,2744,19.1,-45.7,19.3,1.6,,,,,,,,18.3,89.9,2686,0.3,-24.6,9.7,1.6,,,,,,,,,,,,,,,
Greene, Shane,572888,2022,6.00,-0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson, Pierce,572955,2022,5.02,.058,R,280,38.6,94.8,2172,-11.8,-14.6,20,1.2,,,,,,,,,,,,,,,61.4,84.3,2881,9.8,-43.2,11.1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keuchel, Dallas,572971,2022,9.20,.060,L,1165,6.4,87.9,2185,3.5,-21.6,14.2,1.1,8,77,2316,-9.8,-45.3,10.6,1.5,26.3,79.2,1551,14.3,-38.7,15.3,1.1,,,,,,,,44,87.2,1940,15.4,-30.1,16.6,1.1,15.3,85.2,2167,-1.3,-30,8.2,1.2,,,,,,,,,,,,,,,
Mantiply, Joe,573009,2022,2.85,.012,L,861,1.5,91,2208,13.2,-21.6,17.7,1.3,,,,,,,,26,82.6,1702,16.5,-40.7,16.7,1.2,30.2,81.1,2336,-6.6,-43.4,7.5,1.2,42.3,90.4,2190,18.3,-29.4,18.9,1.2,,,,,,,,,,,,,,,,,,,,,,
Rogers, Taylor,573124,2022,4.76,.004,L,1085,0.2,93.6,2223,8.5,-22.7,11.7,1.4,57,80.9,2693,-14.2,-40.4,14.5,1.6,,,,,,,,,,,,,,,42.8,94.3,2168,17,-23.2,18.8,1,0.1,85.2,2668,-5.1,-30.8,9,,,,,,,,,,,,,,,,
